Episode,Total Reward,Steps,Falls,Rollbacks
550,-4.0,400,0,396
551,-6.0,400,0,394
552,-3.0,335,0,332
553,-3.0,400,0,397
554,-7.0,400,0,393
555,-2.0,400,0,398
556,-3.0,400,0,397
557,-2.0,400,0,398
558,-3.0,400,0,397
559,-4.0,400,0,396
560,-3.0,400,0,397
561,-5.0,291,0,286
562,-7.0,400,0,393
563,-6.0,400,0,394
564,-8.0,400,0,392
565,-2.0,400,0,398
566,-6.0,400,0,394
567,-1.0,400,0,399
568,-6.0,400,0,394
569,-3.0,374,0,371
570,-2.0,263,0,261
571,-5.0,400,0,395
572,-5.0,400,0,395
573,-8.0,400,0,392
574,-14.0,400,0,386
575,-2.0,400,0,398
576,-3.0,201,0,198
577,-6.0,400,0,394
578,-5.0,400,0,395
579,-7.0,400,0,393
580,-3.0,400,0,397
581,-15.0,400,0,385
582,-2.0,400,0,398
583,-3.0,400,0,397
584,-5.0,400,0,395
585,-2.0,281,0,279
586,-5.0,400,0,395
587,-10.0,400,0,390
588,-4.0,400,0,396
589,-10.0,400,0,390
590,-12.0,400,0,388
591,-5.0,400,0,395
592,-5.0,400,0,395
593,-2.0,400,0,398
594,-1.0,400,0,399
595,-2.0,371,0,369
596,-3.0,384,0,381
597,-5.0,400,0,395
598,-3.0,222,0,219
599,-5.0,400,0,395
600,-5.0,400,0,395
601,-3.0,266,0,263
602,-4.0,400,0,396
603,-5.0,400,0,395
604,-4.0,400,0,396
605,-18.0,400,0,382
606,-10.0,400,0,390
607,-2.0,400,0,398
608,-4.0,400,0,396
609,-3.0,400,0,397
610,-3.0,400,0,397
611,-5.0,400,0,395
612,-2.0,400,0,398
613,-4.0,321,0,317
614,-3.0,400,0,397
615,-3.0,400,0,397
616,-4.0,325,0,321
617,-8.0,400,0,392
618,-2.0,400,0,398
619,-6.0,400,0,394
620,-1.0,400,0,399
621,-6.0,400,0,394
622,-4.0,228,0,224
623,-4.0,400,0,396
624,-2.0,400,0,398
625,-3.0,400,0,397
626,-8.0,400,0,392
627,-2.0,256,0,254
628,-5.0,400,0,395
629,-7.0,344,0,337
630,-3.0,400,0,397
631,-3.0,400,0,397
632,-3.0,400,0,397
633,-6.0,400,0,394
634,-7.0,400,0,393
635,-2.0,400,0,398
636,-5.0,400,0,395
637,-2.0,400,0,398
638,-3.0,400,0,397
639,-3.0,400,0,397
640,-3.0,362,0,359
641,-3.0,400,0,397
642,-6.0,400,0,394
643,-3.0,400,0,397
644,-3.0,400,0,397
645,-10.0,400,0,390
646,-2.0,126,0,124
647,-5.0,400,0,395
648,-2.0,400,0,398
649,-4.0,173,0,169
650,-8.0,400,0,392
651,-1.0,400,0,399
652,-3.0,245,0,242
653,-10.0,400,0,390
654,-2.0,400,0,398
655,-3.0,400,0,397
656,-3.0,400,0,397
657,-2.0,400,0,398
658,-2.0,400,0,398
659,-8.0,400,0,392
660,-3.0,400,0,397
661,-7.0,400,0,393
662,-5.0,400,0,395
663,-6.0,400,0,394
664,-8.0,400,0,392
665,-8.0,321,0,313
666,-2.0,272,0,270
667,-2.0,400,0,398
668,-2.0,400,0,398
669,-5.0,400,0,395
670,-2.0,400,0,398
671,-3.0,400,0,397
672,-7.0,400,0,393
673,-2.0,400,0,398
674,-6.0,400,0,394
675,-8.0,400,0,392
676,-4.0,400,0,396
677,-7.0,400,0,393
678,-3.0,400,0,397
679,-3.0,400,0,397
680,-5.0,400,0,395
681,-8.0,400,0,392
682,-6.0,400,0,394
683,-3.0,400,0,397
684,-1.0,400,0,399
685,-7.0,400,0,393
686,-2.0,400,0,398
687,-3.0,261,0,258
688,-3.0,243,0,240
689,-3.0,400,0,397
690,-9.0,400,0,391
691,-4.0,331,0,327
692,-5.0,400,0,395
693,-6.0,400,0,394
694,-4.0,400,0,396
695,-3.0,400,0,397
696,-2.0,131,0,129
697,-5.0,400,0,395
698,-3.0,400,0,397
699,-4.0,400,0,396
700,-10.0,400,0,390
701,-6.0,400,0,394
702,-3.0,400,0,397
703,-3.0,400,0,397
704,-4.0,400,0,396
705,-4.0,400,0,396
706,-4.0,400,0,396
707,-2.0,150,0,148
708,-6.0,400,0,394
709,-8.0,400,0,392
710,-2.0,400,0,398
711,-4.0,274,0,270
712,-4.0,400,0,396
713,-4.0,321,0,317
