Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
471,-1096.0,424,77,1
472,-554.0,215,40,1
473,-2408.0,953,164,1
474,-2251.0,895,153,1
475,-890.0,362,61,1
476,-1940.0,818,127,1
477,-1568.0,662,103,1
478,-1320.0,531,90,1
479,-1109.0,392,82,1
480,-1207.0,535,77,1
481,-2366.0,956,159,1
482,-1047.0,438,70,1
483,-988.0,469,60,1
484,-2404.0,1000,156,0
485,-1509.0,621,101,1
486,-1456.0,577,100,1
487,-1757.0,752,114,1
488,-1458.0,579,100,1
489,-2386.0,1000,154,0
490,-1522.0,670,97,1
491,-1450.0,616,95,1
492,-1143.0,471,77,1
493,-1402.0,568,95,1
494,-2391.0,972,160,1
495,-2182.0,970,137,1
496,-874.0,373,58,1
497,-1417.0,610,92,1
498,-465.0,180,34,1
499,-1471.0,592,100,1
500,-1423.0,580,96,1
501,-631.0,247,45,1
502,-527.0,206,38,1
503,-2314.0,1000,146,0
504,-2341.0,1000,149,0
505,-2485.0,1000,165,0
506,-2368.0,1000,152,0
507,-1294.0,568,83,1
508,-961.0,397,65,1
509,-1333.0,571,87,1
510,-1572.0,639,106,1
511,-2205.0,849,153,1
512,-1271.0,491,89,1
513,-1092.0,483,70,1
514,-2004.0,819,134,1
515,-940.0,430,59,1
516,-1879.0,793,123,1
517,-1060.0,433,72,1
518,-2379.0,996,156,1
519,-2097.0,849,141,1
520,-1331.0,542,90,1
521,-2323.0,1000,147,0
522,-1918.0,814,125,1
523,-1186.0,433,86,1
524,-1403.0,569,95,1
525,-1461.0,609,97,1
526,-138.0,78,9,1
527,-2413.0,1000,157,0
528,-1586.0,644,107,1
529,-1416.0,546,99,1
530,-440.0,218,27,1
531,-1262.0,518,85,1
532,-919.0,382,62,1
533,-874.0,346,61,1
534,-735.0,306,50,1
535,-2422.0,1000,158,0
536,-492.0,207,34,1
537,-2323.0,1000,147,0
538,-918.0,381,62,1
539,-1169.0,479,79,1
540,-865.0,337,61,1
541,-2320.0,973,152,1
542,-1215.0,480,84,1
543,-2343.0,951,157,1
544,-1079.0,407,77,1
545,-1190.0,437,86,1
546,-928.0,382,63,1
547,-963.0,354,70,1
548,-1955.0,761,135,1
549,-1507.0,682,94,1
550,-2404.0,1000,156,0
551,-1025.0,389,73,1
552,-1646.0,650,113,1
553,-1254.0,528,83,1
554,-2401.0,973,161,1
555,-2236.0,898,151,1
556,-1807.0,730,122,1
557,-1269.0,471,91,1
558,-2477.0,995,167,1
559,-1277.0,506,88,1
560,-1222.0,505,82,1
561,-839.0,320,60,1
562,-1160.0,434,83,1
563,-1440.0,588,97,1
564,-1686.0,690,113,1
565,-1308.0,546,87,1
566,-2413.0,1000,157,0
567,-2503.0,1000,167,0
568,-2377.0,1000,153,0
569,-2359.0,1000,151,0
570,-1557.0,570,112,1
571,-2269.0,1000,141,0
572,-1019.0,419,69,1
573,-1869.0,774,124,1
574,-2464.0,982,167,1
575,-892.0,337,64,1
576,-1907.0,812,124,1
577,-2467.0,1000,163,0
578,-958.0,367,68,1
579,-1737.0,714,116,1
580,-1074.0,456,71,1
581,-2341.0,1000,149,0
582,-2242.0,877,154,1
583,-2323.0,1000,147,0
584,-2458.0,1000,162,0
585,-1514.0,644,99,1
586,-276.0,117,20,1
587,-1622.0,725,102,1
588,-2386.0,1000,154,0
589,-1336.0,565,88,1
590,-1370.0,671,80,1
591,-1596.0,717,100,1
592,-2314.0,940,155,1
593,-1488.0,582,103,1
594,-1382.0,566,93,1
595,-1067.0,476,68,1
596,-928.0,400,61,1
597,-1392.0,540,97,1
598,-1685.0,743,107,1
599,-2152.0,850,147,1
600,-2351.0,977,155,1
601,-589.0,223,43,1
602,-2293.0,919,155,1
603,-1515.0,618,102,1
604,-1587.0,654,106,1
605,-2292.0,999,146,1
606,-2314.0,1000,146,0
607,-1425.0,564,98,1
608,-1256.0,476,89,1
609,-1500.0,657,96,1
610,-2512.0,1000,168,0
611,-1480.0,583,102,1
612,-2233.0,895,151,1
613,-2467.0,1000,163,0
614,-1049.0,458,68,1
615,-1627.0,667,109,1
616,-1738.0,661,122,1
617,-2117.0,878,140,1
618,-1210.0,484,83,1
619,-1474.0,595,100,1
620,-2339.0,974,154,1
621,-2263.0,943,149,1
622,-1536.0,675,98,1
623,-213.0,108,14,1
624,-1845.0,786,120,1
625,-1683.0,705,111,1
626,-1167.0,459,81,1
627,-1703.0,671,117,1
628,-2440.0,1000,160,0
629,-1736.0,704,117,1
630,-853.0,361,57,1
631,-1683.0,696,112,1
632,-1528.0,649,100,1
633,-931.0,367,65,1
634,-1220.0,476,85,1
635,-930.0,375,64,1
636,-1985.0,845,129,1
637,-1493.0,587,103,1
638,-2395.0,1000,155,0
639,-2476.0,1000,164,0
640,-2319.0,927,157,1
641,-2162.0,842,149,1
642,-597.0,240,42,1
643,-1333.0,517,93,1
644,-2395.0,994,158,1
645,-2341.0,1000,149,0
646,-2413.0,958,164,1
647,-1717.0,685,117,1
648,-1417.0,637,89,1
649,-1498.0,592,103,1
650,-1824.0,720,125,1
651,-1407.0,618,90,1
652,-1167.0,405,87,1
653,-2071.0,778,146,1
654,-859.0,349,59,1
655,-1514.0,644,99,1
656,-1612.0,688,105,1
657,-2438.0,992,163,1
658,-1197.0,480,82,1
659,-1701.0,705,113,1
660,-2401.0,937,165,1
661,-918.0,372,63,1
662,-874.0,355,60,1
663,-2431.0,1000,159,0
664,-2530.0,1000,170,0
665,-1690.0,766,105,1
666,-903.0,339,65,1
667,-1687.0,718,110,1
668,-1009.0,382,72,1
669,-1212.0,504,81,1
670,-1312.0,550,87,1
671,-2088.0,804,145,1
672,-1517.0,593,105,1
673,-1145.0,446,80,1
674,-2440.0,1000,160,0
675,-2386.0,1000,154,0
676,-2086.0,856,139,1
677,-1154.0,473,78,1
678,-1332.0,498,95,1
679,-1565.0,605,109,1
680,-1734.0,702,117,1
681,-1239.0,468,88,1
682,-1212.0,432,89,1
683,-1111.0,484,72,1
684,-1482.0,612,99,1
685,-1790.0,695,124,1
686,-1550.0,617,106,1
687,-2388.0,987,158,1
688,-2298.0,870,161,1
689,-2267.0,902,154,1
690,-1279.0,499,89,1
691,-1051.0,424,72,1
692,-2458.0,1000,162,0
693,-1275.0,558,82,1
694,-2665.0,1000,185,0
695,-1642.0,673,110,1
696,-1288.0,508,89,1
697,-2389.0,961,161,1
698,-1580.0,620,109,1
699,-1556.0,623,106,1
700,-1156.0,511,74,1
701,-1488.0,582,103,1
702,-2674.0,1000,186,0
703,-1260.0,534,83,1
704,-1487.0,608,100,1
705,-1279.0,544,84,1
706,-800.0,290,59,1
707,-1803.0,762,118,1
708,-1398.0,591,92,1
709,-2467.0,1000,163,0
710,-1956.0,762,135,1
711,-2332.0,1000,148,0
712,-2278.0,1000,142,0
713,-1714.0,736,111,1
714,-850.0,304,63,1
715,-2404.0,931,166,1
716,-2049.0,810,140,1
717,-1615.0,691,105,1
718,-1197.0,471,83,1
719,-1274.0,575,80,1
720,-1041.0,396,74,1
721,-1350.0,525,94,1
722,-2012.0,872,129,1
723,-2238.0,918,149,1
724,-2278.0,1000,142,0
725,-1774.0,724,119,1
726,-1008.0,363,74,1
727,-2136.0,816,149,1
728,-2413.0,1000,157,0
729,-1192.0,520,77,1
730,-2530.0,1000,170,0
731,-1355.0,512,96,1
732,-1427.0,593,95,1
733,-2336.0,917,160,1
734,-1144.0,490,75,1
735,-1669.0,700,110,1
736,-1925.0,839,123,1
737,-1290.0,564,83,1
738,-951.0,378,66,1
739,-894.0,366,61,1
740,-1142.0,497,74,1
741,-1221.0,468,86,1
742,-1359.0,570,90,1
743,-1201.0,502,80,1
744,-394.0,172,27,1
745,-1551.0,645,103,1
746,-1395.0,597,91,1
747,-922.0,412,59,1
748,-1178.0,461,82,1
749,-826.0,334,57,1
750,-2400.0,999,158,1
751,-1941.0,837,125,1
752,-2440.0,1000,160,0
753,-1244.0,527,82,1
754,-1321.0,550,88,1
755,-1284.0,540,85,1
756,-1183.0,457,83,1
757,-865.0,328,62,1
758,-1375.0,532,96,1
759,-1013.0,413,69,1
760,-2332.0,1000,148,0
761,-790.0,307,56,1
762,-892.0,355,62,1
763,-1263.0,492,88,1
764,-1554.0,693,98,1
765,-1952.0,830,127,1
766,-1647.0,642,114,1
767,-1092.0,429,76,1
768,-2458.0,1000,162,0
769,-2208.0,906,147,1
770,-1593.0,678,104,1
771,-1085.0,449,73,1
772,-1004.0,404,69,1
773,-901.0,418,56,1
774,-775.0,310,54,1
775,-1629.0,714,104,1
776,-1065.0,429,73,1
777,-2332.0,1000,148,0
778,-2205.0,957,141,1
779,-1294.0,523,88,1
780,-1320.0,594,83,1
781,-2189.0,851,151,1
782,-1524.0,600,105,1
783,-2332.0,1000,148,0
784,-2386.0,1000,154,0
785,-866.0,329,62,1
786,-2449.0,1000,161,0
787,-2449.0,1000,161,0
788,-1633.0,718,104,1
789,-2512.0,1000,168,0
790,-1410.0,567,96,1
791,-1943.0,776,132,1
792,-1452.0,591,98,1
793,-1300.0,493,92,1
794,-1045.0,418,72,1
795,-1149.0,522,72,1
796,-2575.0,1000,175,0
797,-1302.0,486,93,1
798,-1022.0,395,72,1
799,-1282.0,574,81,1
800,-1536.0,621,104,1
801,-1314.0,534,89,1
802,-1324.0,544,89,1
803,-2383.0,982,158,1
804,-2485.0,1000,165,0
805,-2359.0,994,154,1
806,-1163.0,491,77,1
807,-797.0,296,58,1
808,-1207.0,463,85,1
809,-1445.0,593,97,1
810,-2368.0,1000,152,0
811,-1391.0,557,95,1
812,-1129.0,520,70,1
813,-1363.0,574,90,1
814,-1030.0,412,71,1
815,-1785.0,708,122,1
816,-2182.0,934,141,1
817,-1626.0,657,110,1
818,-1159.0,469,79,1
819,-924.0,360,65,1
820,-1708.0,730,111,1
821,-1476.0,606,99,1
822,-2291.0,962,150,1
823,-1133.0,461,77,1
824,-531.0,219,37,1
825,-1361.0,554,92,1
826,-2431.0,1000,159,0
827,-1034.0,389,74,1
828,-1387.0,562,94,1
829,-1239.0,522,82,1
830,-1091.0,437,75,1
831,-1277.0,497,89,1
832,-2341.0,1000,149,0
833,-1302.0,513,90,1
834,-2409.0,999,159,1
835,-1806.0,720,123,1
836,-1455.0,558,102,1
837,-976.0,358,71,1
838,-1499.0,584,104,1
839,-2422.0,1000,158,0
840,-872.0,362,59,1
841,-1814.0,701,126,1
842,-1108.0,427,78,1
843,-1373.0,575,91,1
844,-1519.0,622,102,1
845,-1874.0,779,124,1
846,-2233.0,841,157,1
847,-1524.0,618,103,1
848,-1287.0,552,84,1
849,-746.0,272,55,1
850,-2158.0,874,145,1
851,-1105.0,424,78,1
852,-1498.0,628,99,1
853,-1516.0,637,100,1
854,-2402.0,983,160,1
855,-2197.0,1000,133,0
856,-1001.0,419,67,1
857,-1554.0,630,105,1
858,-1336.0,556,89,1
859,-2226.0,915,148,1
