Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
474,-2287.0,1000,143,0,0
475,-1057.0,412,74,1,0
476,-1732.0,664,121,1,0
477,-2379.0,951,161,1,0
478,-1458.0,552,103,1,0
479,-785.0,320,54,1,0
480,-1437.0,558,100,1,0
481,-2243.0,878,154,1,0
482,-1212.0,495,82,1,0
483,-1338.0,576,87,1,0
484,-2334.0,969,154,1,0
485,-1439.0,686,86,1,0
486,-2097.0,795,147,1,0
487,-1621.0,670,108,1,0
488,-1582.0,631,108,1,0
489,-2350.0,1000,150,0,0
490,-1735.0,730,114,1,0
491,-991.0,436,64,1,0
492,-1478.0,671,92,1,0
493,-2461.0,952,170,1,0
494,-1052.0,416,73,1,0
495,-2367.0,993,155,1,0
496,-1255.0,475,89,1,0
497,-2647.0,1000,183,0,0
498,-777.0,285,57,1,0
499,-1234.0,571,76,1,0
500,-1214.0,479,84,1,0
501,-783.0,318,54,1,0
502,-1357.0,496,98,1,0
503,-1428.0,531,102,1,0
504,-1637.0,695,107,1,0
505,-2467.0,1000,163,0,0
506,-2261.0,923,151,1,0
507,-814.0,322,57,1,0
508,-1536.0,621,104,1,0
509,-1052.0,407,74,1,0
510,-2476.0,1000,164,0,0
511,-1048.0,475,66,1,0
512,-919.0,373,63,1,0
513,-1547.0,623,105,1,0
514,-2467.0,1000,163,0,0
515,-961.0,370,68,1,0
516,-1466.0,596,99,1,0
517,-1336.0,565,88,1,0
518,-2341.0,1000,149,0,0
519,-973.0,382,68,1,0
520,-1056.0,474,67,1,0
521,-1499.0,611,101,1,0
522,-2438.0,956,167,1,0
523,-1286.0,497,90,1,0
524,-1234.0,508,83,1,0
525,-1460.0,581,100,1,0
526,-384.0,153,28,1,0
527,-1606.0,610,113,1,0
528,-1621.0,643,111,1,0
529,-2418.0,936,167,1,0
530,-896.0,332,65,1,0
531,-971.0,380,68,1,0
532,-1207.0,463,85,1,0
533,-2050.0,856,135,1,0
534,-1745.0,677,121,1,0
535,-2117.0,815,147,1,0
536,-2530.0,1000,170,0,0
537,-1745.0,695,119,1,0
538,-2539.0,1000,171,0,0
539,-1177.0,496,78,1,0
540,-902.0,329,66,1,0
541,-2359.0,1000,151,0,0
542,-1096.0,496,69,1,0
543,-1364.0,548,93,1,0
544,-2269.0,940,150,1,0
545,-1670.0,719,108,1,0
546,-1212.0,432,89,1,0
547,-1232.0,515,82,1,0
548,-1710.0,732,111,1,0
549,-1202.0,539,76,1,0
550,-1440.0,552,101,1,0
551,-1176.0,504,77,1,0
552,-2485.0,1000,165,0,0
553,-1364.0,584,89,1,0
554,-1560.0,627,106,1,0
555,-2346.0,981,154,1,0
556,-2168.0,884,145,1,0
557,-1173.0,501,77,1,0
558,-2467.0,1000,163,0,0
559,-1450.0,571,100,1,0
560,-1236.0,564,77,1,0
561,-1319.0,566,86,1,0
562,-1449.0,597,97,1,0
563,-2422.0,1000,158,0,0
564,-2449.0,1000,161,0,0
565,-863.0,317,63,1,0
566,-2359.0,1000,151,0,0
567,-2404.0,1000,156,0,0
568,-2458.0,1000,162,0,0
569,-2390.0,926,165,1,0
570,-2494.0,1000,166,0,0
571,-1734.0,675,120,1,0
572,-726.0,288,51,1,0
573,-1680.0,702,111,1,0
574,-2231.0,911,149,1,0
575,-2449.0,1000,161,0,0
576,-2224.0,904,149,1,0
577,-2422.0,1000,158,0,0
578,-1043.0,434,70,1,0
579,-1724.0,638,123,1,0
580,-1131.0,504,72,1,0
581,-2034.0,840,135,1,0
582,-1673.0,677,113,1,0
583,-2260.0,1000,140,0,0
584,-1512.0,651,98,1,0
585,-1474.0,559,104,1,0
586,-1029.0,393,73,1,0
587,-1255.0,466,90,1,0
588,-2018.0,824,135,1,0
589,-1256.0,458,91,1,0
590,-1387.0,562,94,1,0
591,-1628.0,686,107,1,0
592,-2302.0,964,151,1,0
593,-1343.0,518,94,1,0
594,-1243.0,472,88,1,0
595,-1314.0,552,87,1,0
596,-2078.0,857,138,1,0
597,-898.0,361,62,1,0
598,-1181.0,491,79,1,0
599,-2427.0,999,161,1,0
600,-1885.0,763,127,1,0
601,-2261.0,905,153,1,0
602,-2368.0,1000,152,0,0
603,-1849.0,799,119,1,0
604,-1445.0,593,97,1,0
605,-2346.0,972,155,1,0
606,-1784.0,779,114,1,0
607,-886.0,331,64,1,0
608,-1288.0,535,86,1,0
609,-2355.0,927,161,1,0
610,-1316.0,527,90,1,0
611,-1056.0,447,70,1,0
612,-1254.0,519,84,1,0
613,-2156.0,899,142,1,0
614,-2368.0,1000,152,0,0
615,-1721.0,743,111,1,0
616,-1879.0,775,125,1,0
617,-1919.0,860,120,1,0
618,-2359.0,1000,151,0,0
619,-1331.0,605,83,1,0
620,-1500.0,630,99,1,0
621,-2260.0,1000,140,0,0
622,-2230.0,829,158,1,0
623,-863.0,317,63,1,0
624,-1615.0,673,107,1,0
625,-1838.0,770,121,1,0
626,-2359.0,1000,151,0,0
627,-1518.0,603,104,1,0
628,-1457.0,605,97,1,0
629,-2440.0,1000,160,0,0
630,-906.0,333,66,1,0
631,-1618.0,694,105,1,0
632,-1902.0,798,125,1,0
633,-872.0,344,61,1,0
634,-1248.0,468,89,1,0
635,-948.0,375,66,1,0
636,-1999.0,850,130,1,0
637,-958.0,430,61,1,0
638,-1915.0,820,124,1,0
639,-1688.0,746,107,1,0
640,-1673.0,731,107,1,0
641,-2431.0,1000,159,0,0
642,-1095.0,441,75,1,0
643,-1587.0,600,112,1,0
644,-2341.0,1000,149,0,0
645,-2005.0,820,134,1,0
646,-2354.0,953,158,1,0
647,-2512.0,1000,168,0,0
648,-2376.0,948,161,1,0
649,-1143.0,507,73,1,0
650,-1403.0,551,97,1,0
651,-1363.0,538,94,1,0
652,-1236.0,483,86,1,0
653,-2368.0,1000,152,0,0
654,-872.0,344,61,1,0
655,-1291.0,511,89,1,0
656,-2495.0,995,169,1,0
657,-1382.0,530,97,1,0
658,-560.0,230,39,1,0
659,-2422.0,1000,158,0,0
660,-2423.0,986,162,1,0
661,-1294.0,532,87,1,0
662,-1280.0,455,94,1,0
663,-2404.0,1000,156,0,0
664,-1161.0,462,80,1,0
665,-2359.0,1000,151,0,0
666,-1049.0,440,70,1,0
667,-2368.0,1000,152,0,0
668,-339.0,171,21,1,0
669,-1232.0,533,80,1,0
670,-2305.0,1000,145,0,0
671,-2204.0,929,144,1,0
672,-1360.0,544,93,1,0
673,-1194.0,441,86,1,0
674,-2584.0,1000,176,0,0
675,-1776.0,744,117,1,0
676,-1322.0,542,89,1,0
677,-1778.0,782,113,1,0
678,-2332.0,1000,148,0,0
679,-1601.0,659,107,1,0
680,-2251.0,1000,139,0,0
681,-1099.0,454,74,1,0
682,-1387.0,544,96,1,0
683,-808.0,316,57,1,0
684,-1674.0,696,111,1,0
685,-1541.0,653,101,1,0
686,-1616.0,701,104,1,0
687,-951.0,387,65,1,0
688,-1567.0,607,109,1,0
689,-2283.0,909,155,1,0
690,-627.0,243,45,1,0
691,-1460.0,563,102,1,0
692,-2401.0,973,161,1,0
693,-1038.0,456,67,1,0
694,-2467.0,1000,163,0,0
695,-2441.0,995,163,1,0
696,-1151.0,470,78,1,0
697,-1457.0,551,103,1,0
698,-2167.0,892,144,1,0
699,-2367.0,957,159,1,0
700,-1039.0,403,73,1,0
701,-1764.0,723,118,1,0
702,-2294.0,920,155,1,0
703,-1382.0,557,94,1,0
704,-1381.0,565,93,1,0
705,-2214.0,930,145,1,0
706,-771.0,315,53,1,0
707,-1780.0,712,121,1,0
708,-2431.0,1000,159,0,0
709,-2341.0,1000,149,0,0
710,-1926.0,831,124,1,0
711,-1543.0,655,101,1,0
712,-1731.0,762,110,1,0
713,-1854.0,759,124,1,0
714,-523.0,211,37,1,0
715,-1792.0,697,124,1,0
716,-2467.0,1000,163,0,0
717,-2096.0,875,138,1,0
718,-2041.0,793,141,1,0
719,-1214.0,533,78,1,0
720,-1017.0,453,65,1,0
721,-2070.0,813,142,1,0
722,-2332.0,1000,148,0,0
723,-2395.0,1000,155,0,0
724,-2242.0,1000,138,0,0
725,-1909.0,760,130,1,0
726,-2368.0,994,155,1,0
727,-2283.0,972,148,1,0
728,-1813.0,772,118,1,0
729,-1040.0,413,72,1,0
730,-1162.0,427,84,1,0
731,-1110.0,447,76,1,0
732,-903.0,348,64,1,0
733,-1565.0,641,105,1,0
734,-1208.0,491,82,1,0
735,-2422.0,1000,158,0,0
736,-1512.0,597,104,1,0
737,-874.0,364,59,1,0
738,-1018.0,364,75,1,0
739,-2431.0,1000,159,0,0
740,-1085.0,467,71,1,0
741,-1335.0,510,94,1,0
742,-1026.0,453,66,1,0
743,-1106.0,461,74,1,0
744,-1392.0,612,89,1,0
745,-1915.0,757,131,1,0
746,-1027.0,400,72,1,0
747,-699.0,279,49,1,0
748,-1035.0,435,69,1,0
749,-837.0,327,59,1,0
750,-2144.0,815,150,1,0
751,-1792.0,724,121,1,0
752,-1849.0,772,122,1,0
753,-2029.0,844,134,1,0
754,-2273.0,926,152,1,0
755,-1016.0,461,64,1,0
756,-1147.0,466,78,1,0
757,-785.0,311,55,1,0
758,-2359.0,1000,151,0,0
759,-1534.0,610,105,1,0
760,-1666.0,706,109,1,0
761,-1100.0,500,69,1,0
762,-894.0,321,66,1,0
763,-1240.0,559,78,1,0
764,-1486.0,598,101,1,0
765,-2386.0,1000,154,0,0
766,-1434.0,582,97,1,0
767,-1335.0,582,86,1,0
768,-2359.0,1000,151,0,0
769,-1547.0,668,100,1,0
770,-2254.0,952,147,1,0
771,-1034.0,434,69,1,0
772,-1224.0,453,88,1,0
773,-1046.0,392,75,1,0
774,-933.0,360,66,1,0
775,-1363.0,574,90,1,0
776,-1398.0,546,97,1,0
777,-1740.0,744,113,1,0
778,-2435.0,971,165,1,0
779,-1746.0,750,113,1,0
780,-2440.0,1000,160,0,0
781,-2208.0,861,152,1,0
782,-1383.0,549,95,1,0
783,-1435.0,547,101,1,0
784,-1948.0,781,132,1,0
785,-839.0,320,60,1,0
786,-1134.0,471,76,1,0
787,-2006.0,821,134,1,0
788,-2229.0,864,154,1,0
789,-2428.0,964,165,1,0
790,-1459.0,580,100,1,0
791,-2386.0,1000,154,0,0
792,-1649.0,707,107,1,0
793,-1025.0,425,69,1,0
794,-1225.0,535,79,1,0
795,-1191.0,510,78,1,0
796,-1670.0,647,116,1,0
797,-901.0,346,64,1,0
798,-1616.0,656,109,1,0
799,-1184.0,485,80,1,0
800,-2279.0,878,158,1,0
801,-2504.0,995,170,1,0
802,-2264.0,881,156,1,0
803,-1981.0,877,125,1,0
804,-817.0,325,57,1,0
805,-1903.0,781,127,1,0
806,-1008.0,381,72,1,0
807,-788.0,287,58,1,0
808,-964.0,400,65,1,0
809,-2395.0,1000,155,0,0
810,-2127.0,798,150,1,0
811,-1317.0,555,87,1,0
812,-1391.0,593,91,1,0
813,-1000.0,355,74,1,0
814,-1369.0,643,83,1,0
815,-1845.0,759,123,1,0
816,-2220.0,918,147,1,0
817,-1598.0,674,105,1,0
818,-2359.0,1000,151,0,0
819,-1194.0,441,86,1,0
820,-1043.0,398,74,1,0
821,-1433.0,608,94,1,0
822,-1257.0,504,86,1,0
823,-1428.0,558,99,1,0
824,-1113.0,459,75,1,0
825,-1232.0,497,84,1,0
826,-1604.0,653,108,1,0
827,-188.0,110,11,1,0
828,-1226.0,491,84,1,0
829,-1559.0,626,106,1,0
830,-518.0,224,35,1,0
831,-1676.0,824,97,1,0
832,-1528.0,613,104,1,0
833,-2512.0,1000,168,0,0
834,-1264.0,538,83,1,0
835,-1504.0,625,100,1,0
836,-1316.0,545,88,1,0
837,-850.0,358,57,1,0
838,-1106.0,506,69,1,0
839,-1978.0,766,137,1,0
840,-1415.0,545,99,1,0
841,-1351.0,535,93,1,0
842,-1373.0,557,93,1,0
843,-1144.0,454,79,1,0
844,-2078.0,803,144,1,0
845,-1550.0,653,102,1,0
846,-2269.0,1000,141,0,0
847,-1666.0,715,108,1,0
848,-1389.0,591,91,1,0
849,-1199.0,473,83,1,0
850,-2485.0,1000,165,0,0
851,-995.0,431,65,1,0
852,-2248.0,847,158,1,0
853,-1508.0,611,102,1,0
854,-2314.0,1000,146,0,0
855,-1317.0,555,87,1,0
856,-976.0,394,67,1,0
857,-2378.0,968,159,1,0
858,-1029.0,420,70,1,0
859,-1860.0,783,122,1,0
860,-633.0,222,48,1,0
861,-2449.0,1000,161,0,0
862,-1680.0,702,111,1,0
