Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
591,-385.0,475,0,1,69
592,-755.0,941,0,1,165
593,-798.0,975,0,1,156
594,-292.0,385,0,1,72
595,-380.0,482,0,1,81
596,-828.0,1000,0,0,172
597,-533.0,660,0,1,106
598,-441.0,559,0,1,97
599,-545.0,664,0,1,98
600,-849.0,1000,0,0,151
601,-840.0,1000,0,0,160
602,-720.0,896,0,1,155
603,-731.0,891,0,1,139
604,-859.0,1000,0,0,141
605,-849.0,1000,0,0,151
606,-846.0,1000,0,0,154
607,-333.0,420,0,1,66
608,-421.0,521,0,1,79
609,-397.0,505,0,1,87
610,-851.0,1000,0,0,149
611,-467.0,576,0,1,88
612,-860.0,1000,0,0,140
613,-854.0,1000,0,0,146
614,-649.0,796,0,1,126
615,-857.0,1000,0,0,143
616,-478.0,598,0,1,99
617,-500.0,608,0,1,87
618,-502.0,617,0,1,94
619,-425.0,523,0,1,77
620,-853.0,1000,0,0,147
621,-828.0,1000,0,0,172
622,-366.0,478,0,1,91
623,-138.0,186,0,1,27
624,-810.0,990,0,1,159
625,-824.0,1000,0,0,176
626,-774.0,942,0,1,147
627,-846.0,1000,0,0,154
628,-850.0,1000,0,0,150
629,-747.0,928,0,1,160
630,-380.0,497,0,1,96
631,-631.0,767,0,1,115
632,-611.0,770,0,1,138
633,-345.0,428,0,1,62
634,-321.0,406,0,1,64
635,-530.0,658,0,1,107
636,-583.0,713,0,1,109
637,-374.0,478,0,1,83
638,-673.0,837,0,1,143
639,-773.0,947,0,1,153
640,-659.0,827,0,1,147
641,-843.0,1000,0,0,157
642,-334.0,425,0,1,70
643,-714.0,893,0,1,158
644,-844.0,1000,1,0,165
645,-854.0,1000,0,0,146
646,-271.0,365,0,1,73
647,-811.0,976,0,1,144
648,-494.0,595,0,1,80
649,-282.0,373,0,1,70
650,-748.0,929,0,1,160
651,-463.0,591,0,1,107
652,-317.0,409,0,1,71
653,-461.0,563,0,1,81
654,-298.0,374,1,1,64
655,-286.0,388,0,1,81
656,-861.0,1000,0,0,139
657,-280.0,385,0,1,84
658,-497.0,592,0,1,74
659,-859.0,1000,0,0,141
660,-856.0,1000,1,0,153
661,-322.0,408,0,1,65
662,-339.0,421,0,1,61
663,-865.0,1000,0,0,135
664,-559.0,680,0,1,100
665,-611.0,779,0,1,147
666,-307.0,398,0,1,70
667,-764.0,946,0,1,161
668,-271.0,353,0,1,61
669,-849.0,1000,0,0,151
670,-371.0,489,0,1,97
671,-651.0,800,0,1,128
672,-343.0,447,0,1,83
673,-340.0,434,0,1,73
674,-824.0,999,0,1,154
675,-329.0,433,0,1,83
676,-471.0,580,0,1,88
677,-761.0,933,0,1,151
678,-842.0,1000,0,0,158
679,-811.0,977,0,1,145
680,-858.0,1000,0,0,142
681,-835.0,1000,0,0,165
682,-620.0,783,0,1,142
683,-356.0,448,0,1,71
684,-155.0,204,0,1,28
685,-559.0,699,0,1,119
686,-494.0,618,0,1,103
687,-287.0,373,0,1,65
688,-544.0,678,0,1,113
689,-846.0,1000,0,0,154
690,-295.0,383,0,1,67
691,-315.0,413,0,1,77
692,-856.0,1000,1,0,153
693,-397.0,506,0,1,88
694,-855.0,1000,0,0,145
695,-853.0,1000,0,0,147
696,-384.0,484,0,1,79
697,-500.0,625,0,1,104
698,-793.0,969,0,1,155
699,-539.0,660,0,1,100
700,-254.0,340,0,1,65
701,-844.0,1000,0,0,156
702,-840.0,1000,0,0,160
703,-835.0,1000,1,0,174
704,-395.0,514,0,1,98
705,-319.0,415,0,1,75
706,-271.0,357,0,1,65
707,-845.0,1000,1,0,164
708,-677.0,829,0,1,131
709,-675.0,824,0,1,128
710,-758.0,934,1,1,164
711,-667.0,824,0,1,136
712,-620.0,755,0,1,114
713,-655.0,791,0,1,115
714,-204.0,279,0,1,54
715,-307.0,409,0,1,81
716,-768.0,954,0,1,165
717,-797.0,967,0,1,149
718,-850.0,1000,0,0,150
719,-525.0,658,0,1,112
720,-210.0,283,0,1,52
721,-715.0,871,0,1,135
722,-860.0,1000,0,0,140
723,-319.0,410,0,1,70
724,-860.0,1000,0,0,140
725,-838.0,1000,0,0,162
726,-585.0,707,0,1,101
727,-852.0,1000,0,0,148
728,-843.0,1000,0,0,157
729,-301.0,395,0,1,73
730,-339.0,440,0,1,80
731,-327.0,422,0,1,74
732,-473.0,594,0,1,100
733,-841.0,1000,0,0,159
734,-287.0,388,0,1,80
735,-846.0,1000,0,0,154
736,-840.0,1000,0,0,160
737,-845.0,1000,0,0,155
738,-293.0,385,0,1,71
739,-837.0,1000,0,0,163
740,-443.0,550,0,1,86
741,-119.0,156,0,1,16
742,-402.0,504,1,1,90
743,-463.0,569,0,1,85
744,-402.0,505,0,1,82
745,-846.0,1000,0,0,154
746,-450.0,554,0,1,83
747,-177.0,246,0,1,48
748,-779.0,965,0,1,165
749,-857.0,1000,0,0,143
750,-238.0,312,0,1,53
751,-867.0,1000,0,0,133
752,-850.0,1000,0,0,150
753,-369.0,469,0,1,79
754,-838.0,1000,0,0,162
755,-348.0,436,0,1,67
756,-597.0,757,0,1,139
757,-169.0,216,1,1,35
758,-371.0,474,0,1,82
759,-437.0,560,0,1,102
760,-860.0,1000,0,0,140
761,-167.0,222,0,1,34
762,-234.0,326,0,1,71
763,-328.0,424,0,1,75
764,-398.0,500,0,1,81
765,-579.0,716,0,1,116
766,-856.0,1000,0,0,144
767,-531.0,636,0,1,84
768,-626.0,743,0,1,96
769,-715.0,892,0,1,156
770,-863.0,1000,0,0,137
771,-836.0,1000,0,0,164
772,-220.0,297,0,1,56
773,-247.0,338,0,1,70
774,-443.0,567,0,1,103
775,-212.0,291,0,1,58
776,-292.0,384,0,1,71
777,-591.0,727,0,1,115
778,-696.0,859,0,1,142
779,-473.0,585,0,1,91
780,-575.0,709,0,1,113
781,-804.0,979,0,1,154
782,-434.0,546,0,1,91
783,-699.0,860,0,1,140
784,-507.0,635,0,1,107
785,-231.0,313,0,1,61
786,-711.0,881,0,1,149
787,-844.0,1000,0,0,156
788,-435.0,548,0,1,92
789,-850.0,1000,0,0,150
790,-581.0,703,0,1,101
791,-540.0,678,0,1,117
792,-454.0,576,0,1,101
793,-452.0,548,1,1,84
794,-433.0,523,0,1,69
795,-371.0,466,0,1,74
796,-294.0,375,0,1,60
797,-192.0,266,0,1,53
798,-851.0,1000,0,0,149
799,-843.0,1000,0,0,157
800,-455.0,572,0,1,96
801,-435.0,554,0,1,98
802,-605.0,740,0,1,114
803,-743.0,916,0,1,152
804,-437.0,562,0,1,104
805,-555.0,681,0,1,105
806,-334.0,430,0,1,75
807,-141.0,198,0,1,36
808,-297.0,394,0,1,76
809,-287.0,380,0,1,72
810,-318.0,417,0,1,78
811,-380.0,487,0,1,86
812,-834.0,1000,0,0,166
