Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
778,-27.0,30,2,1
779,-23.0,35,1,1
780,-109.0,85,5,1
781,-11.0,23,1,1
782,9.0,12,0,1
783,-36.0,39,2,1
784,0.0,12,1,1
785,12.0,9,0,1
786,1.0,11,1,1
787,8.0,13,0,1
788,8.0,13,0,1
789,7.0,14,0,1
790,-15.0,18,2,1
791,-14.0,17,2,1
792,-11.0,23,1,1
793,10.0,11,0,1
794,-19.0,31,1,1
795,-31.0,25,3,1
796,0.0,12,1,1
797,10.0,11,0,1
798,10.0,11,0,1
799,9.0,12,0,1
800,-1.0,13,1,1
801,-28.0,22,3,1
802,9.0,12,0,1
803,-17.0,29,1,1
804,8.0,13,0,1
805,-122.0,80,7,1
806,-3.0,15,1,1
807,9.0,12,0,1
808,10.0,11,0,1
809,10.0,11,0,1
810,7.0,14,0,1
811,-14.0,35,0,1
812,8.0,13,0,1
813,-23.0,26,2,1
814,11.0,10,0,1
815,-13.0,25,1,1
816,-4.0,16,1,1
817,-22.0,34,1,1
818,3.0,18,0,1
819,-14.0,26,1,1
820,-23.0,26,2,1
821,-3.0,15,1,1
822,7.0,14,0,1
823,-25.0,37,1,1
824,4.0,17,0,1
825,3.0,18,0,1
826,-5.0,17,1,1
827,-42.0,36,3,1
828,-9.0,12,2,1
829,10.0,11,0,1
830,2.0,10,1,1
831,14.0,7,0,1
832,11.0,10,0,1
833,-27.0,30,2,1
834,9.0,12,0,1
835,-38.0,32,3,1
836,-44.0,29,4,1
837,8.0,13,0,1
838,-45.0,39,3,1
839,7.0,14,0,1
840,-14.0,17,2,1
841,-2.0,14,1,1
842,0.0,12,1,1
843,-89.0,83,3,1
844,-8.0,20,1,1
845,-46.0,49,2,1
846,-94.0,70,5,1
847,-24.0,36,1,1
848,-58.0,61,2,1
849,-4.0,25,0,1
850,1.0,20,0,1
851,-8.0,29,0,1
852,-14.0,26,1,1
853,9.0,12,0,1
854,-15.0,27,1,1
855,-53.0,47,3,1
856,11.0,10,0,1
857,-121.0,88,6,1
858,-25.0,37,1,1
859,-24.0,27,2,1
860,0.0,12,1,1
861,-6.0,18,1,1
862,5.0,16,0,1
863,4.0,17,0,1
864,6.0,15,0,1
865,1.0,20,0,1
866,-16.0,19,2,1
867,-5.0,17,1,1
868,-13.0,25,1,1
869,8.0,13,0,1
870,-6.0,18,1,1
871,-32.0,35,2,1
872,9.0,12,0,1
873,-33.0,27,3,1
874,-12.0,33,0,1
875,5.0,16,0,1
876,7.0,14,0,1
877,-4.0,16,1,1
878,11.0,10,0,1
879,-18.0,39,0,1
880,11.0,10,0,1
881,5.0,16,0,1
882,-22.0,25,2,1
883,-20.0,23,2,1
884,9.0,12,0,1
885,-6.0,27,0,1
886,-5.0,17,1,1
887,4.0,17,0,1
888,-9.0,21,1,1
889,12.0,9,0,1
890,8.0,13,0,1
891,-5.0,26,0,1
892,14.0,7,0,1
893,-1.0,13,1,1
894,-59.0,62,2,1
895,8.0,13,0,1
896,-4.0,25,0,1
897,-6.0,27,0,1
898,-6.0,27,0,1
899,-61.0,64,2,1
900,15.0,6,0,1
901,-60.0,45,4,1
902,10.0,11,0,1
903,-56.0,41,4,1
904,-42.0,27,4,1
905,9.0,12,0,1
906,-27.0,21,3,1
907,7.0,14,0,1
908,-1.0,13,1,1
909,-3.0,15,1,1
910,7.0,14,0,1
911,8.0,13,0,1
912,-2.0,14,1,1
913,9.0,12,0,1
914,2.0,19,0,1
915,9.0,12,0,1
916,-23.0,44,0,1
917,-12.0,24,1,1
918,11.0,10,0,1
919,12.0,9,0,1
920,-39.0,42,2,1
921,8.0,13,0,1
922,8.0,13,0,1
923,-23.0,35,1,1
924,7.0,14,0,1
925,-19.0,22,2,1
926,6.0,15,0,1
927,-33.0,27,3,1
928,-1.0,13,1,1
929,1.0,20,0,1
930,-32.0,35,2,1
931,-10.0,22,1,1
932,-6.0,18,1,1
933,-8.0,20,1,1
934,-1.0,22,0,1
935,-25.0,37,1,1
936,7.0,14,0,1
937,10.0,11,0,1
938,-37.0,49,1,1
939,14.0,7,0,1
940,11.0,10,0,1
941,8.0,13,0,1
942,-53.0,47,3,1
943,-23.0,35,1,1
944,-4.0,16,1,1
945,-5.0,17,1,1
946,8.0,13,0,1
947,13.0,8,0,1
948,4.0,17,0,1
949,7.0,14,0,1
950,4.0,17,0,1
951,-1.0,13,1,1
952,1.0,20,0,1
953,-11.0,14,2,1
954,10.0,11,0,1
955,3.0,9,1,1
956,7.0,14,0,1
957,-35.0,38,2,1
958,5.0,16,0,1
959,-25.0,37,1,1
960,-73.0,40,6,1
961,8.0,13,0,1
962,8.0,13,0,1
963,7.0,14,0,1
964,11.0,10,0,1
965,-21.0,24,2,1
966,9.0,12,0,1
967,8.0,13,0,1
968,11.0,10,0,1
969,-17.0,20,2,1
970,-83.0,68,4,1
971,-3.0,15,1,1
972,8.0,13,0,1
973,9.0,12,0,1
974,6.0,15,0,1
975,11.0,10,0,1
976,7.0,14,0,1
977,-11.0,32,0,1
978,12.0,9,0,1
979,-4.0,16,1,1
980,-43.0,37,3,1
981,8.0,13,0,1
982,-3.0,15,1,1
983,-1.0,13,1,1
984,-6.0,18,1,1
985,4.0,17,0,1
986,11.0,10,0,1
987,2.0,10,1,1
988,8.0,13,0,1
989,-3.0,15,1,1
990,-15.0,18,2,1
991,-1.0,13,1,1
992,-12.0,24,1,1
993,5.0,16,0,1
994,-2.0,14,1,1
995,9.0,12,0,1
996,-12.0,24,1,1
997,-51.0,45,3,1
998,8.0,13,0,1
999,11.0,10,0,1
