Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
563,-1413.0,579,95,1,0
564,-1278.0,552,83,1,0
565,-1350.0,561,90,1,0
566,-2341.0,1000,149,0,0
567,-2332.0,1000,148,0,0
568,-2422.0,1000,158,0,0
569,-1355.0,521,95,1,0
570,-1783.0,769,115,1,0
571,-2188.0,1000,132,0,0
572,-986.0,395,68,1,0
573,-1561.0,655,103,1,0
574,-2368.0,1000,152,0,0
575,-1126.0,481,74,1,0
576,-1559.0,653,103,1,0
577,-2342.0,950,157,1,0
578,-865.0,337,61,1,0
579,-2339.0,983,153,1,0
580,-989.0,425,65,1,0
581,-2343.0,933,159,1,0
582,-2395.0,1000,155,0,0
583,-2305.0,1000,145,0,0
584,-2257.0,928,150,1,0
585,-1429.0,559,99,1,0
586,-975.0,411,65,1,0
587,-781.0,316,54,1,0
588,-2295.0,957,151,1,0
589,-1104.0,423,78,1,0
590,-979.0,379,69,1,0
591,-1337.0,539,91,1,0
592,-2340.0,966,155,1,0
593,-2467.0,1000,163,0,0
594,-1077.0,387,79,1,0
595,-1219.0,475,85,1,0
596,-2440.0,1000,160,0,0
597,-1861.0,874,112,1,0
598,-1253.0,527,83,1,0
599,-2319.0,954,154,1,0
600,-1524.0,627,102,1,0
601,-1395.0,588,92,1,0
602,-1289.0,527,87,1,0
603,-1481.0,548,106,1,0
604,-2566.0,1000,174,0,0
605,-2440.0,1000,160,0,0
606,-1082.0,419,76,1,0
607,-709.0,289,49,1,0
608,-758.0,293,54,1,0
609,-2494.0,1000,166,0,0
610,-1332.0,561,88,1,0
611,-1398.0,573,94,1,0
612,-1891.0,742,130,1,0
613,-2375.0,965,159,1,0
614,-2275.0,910,154,1,0
615,-1793.0,743,119,1,0
616,-1786.0,718,121,1,0
617,-2251.0,1000,139,0,0
618,-1487.0,617,99,1,0
619,-1519.0,631,101,1,0
620,-1722.0,708,115,1,0
621,-1493.0,596,102,1,0
622,-1451.0,590,98,1,0
623,-401.0,197,25,1,0
624,-2476.0,1000,164,0,0
625,-2383.0,928,164,1,0
626,-2350.0,1000,150,0,0
627,-2338.0,937,158,1,0
628,-2314.0,1000,146,0,0
629,-1521.0,597,105,1,0
630,-919.0,382,62,1,0
631,-1543.0,691,97,1,0
632,-1536.0,594,107,1,0
633,-820.0,328,57,1,0
634,-1288.0,508,89,1,0
635,-2512.0,1000,168,0,0
636,-2305.0,1000,145,0,0
637,-1302.0,504,91,1,0
638,-1283.0,449,95,1,0
639,-2323.0,1000,147,0,0
640,-2271.0,942,150,1,0
641,-1561.0,682,100,1,0
642,-873.0,318,64,1,0
643,-743.0,305,51,1,0
644,-2188.0,1000,132,0,0
645,-2251.0,1000,139,0,0
646,-1719.0,750,110,1,0
647,-2389.0,934,164,1,0
648,-2413.0,1000,157,0,0
649,-1268.0,452,93,1,0
650,-1341.0,552,90,1,0
651,-2422.0,1000,158,0,0
652,-1120.0,439,78,1,0
653,-2512.0,1000,168,0,0
654,-886.0,376,59,1,0
655,-1410.0,630,89,1,0
656,-2215.0,1000,135,0,0
657,-759.0,276,56,1,0
658,-378.0,156,27,1,0
659,-1658.0,725,106,1,0
660,-2368.0,1000,152,0,0
661,-1132.0,478,75,1,0
662,-1076.0,458,71,1,0
663,-2386.0,1000,154,0,0
664,-614.0,248,43,1,0
665,-1900.0,805,124,1,0
666,-1042.0,415,72,1,0
667,-2362.0,979,156,1,0
668,-857.0,356,58,1,0
669,-2350.0,1000,150,0,0
670,-2298.0,960,151,1,0
671,-1967.0,827,129,1,0
672,-716.0,269,52,1,0
673,-438.0,171,32,1,0
674,-2234.0,896,151,1,0
675,-1371.0,600,88,1,0
676,-721.0,301,49,1,0
677,-1443.0,555,101,1,0
678,-2359.0,1000,151,0,0
679,-2323.0,1000,147,0,0
680,-1536.0,621,104,1,0
681,-1313.0,497,93,1,0
682,-1196.0,461,84,1,0
683,-1302.0,567,84,1,0
684,-1526.0,647,100,1,0
685,-1098.0,417,78,1,0
686,-2458.0,1000,162,0,0
687,-890.0,353,62,1,0
688,-2323.0,1000,147,0,0
689,-2361.0,987,155,1,0
690,-995.0,404,68,1,0
691,-968.0,368,69,1,0
692,-2449.0,994,164,1,0
693,-1414.0,571,96,1,0
694,-1831.0,790,118,1,0
695,-1402.0,541,98,1,0
696,-1268.0,506,87,1,0
697,-2422.0,1000,158,0,0
698,-2363.0,962,158,1,0
699,-1276.0,460,93,1,0
700,-1201.0,457,85,1,0
701,-1327.0,556,88,1,0
702,-2449.0,1000,161,0,0
703,-1682.0,722,109,1,0
704,-1156.0,466,79,1,0
705,-773.0,317,53,1,0
706,-875.0,329,63,1,0
707,-2377.0,1000,153,0,0
708,-2296.0,1000,144,0,0
709,-1880.0,758,127,1,0
