Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
553,-416.0,509,1,1,81
554,-771.0,949,0,1,157
555,-386.0,504,0,1,97
556,-650.0,803,0,1,132
557,-317.0,398,1,1,69
558,-855.0,1000,0,0,145
559,-414.0,529,0,1,94
560,-472.0,594,0,1,101
561,-247.0,339,0,1,71
562,-248.0,328,0,1,59
563,-300.0,383,0,1,62
564,-550.0,673,0,1,102
565,-349.0,440,0,1,70
566,-843.0,1000,0,0,157
567,-847.0,1000,0,0,153
568,-384.0,493,0,1,88
569,-838.0,1000,0,0,162
570,-605.0,742,0,1,116
571,-362.0,465,0,1,82
572,-825.0,1000,0,0,175
573,-694.0,825,0,1,110
574,-842.0,1000,0,0,158
575,-316.0,405,0,1,68
576,-834.0,1000,0,0,166
577,-575.0,700,0,1,104
578,-347.0,448,0,1,80
579,-586.0,712,0,1,105
580,-321.0,412,0,1,70
581,-446.0,571,0,1,104
582,-641.0,791,0,1,129
583,-855.0,1000,1,0,154
584,-839.0,1000,0,0,161
585,-518.0,641,0,1,102
586,-315.0,396,0,1,60
587,-807.0,979,0,1,151
588,-574.0,698,0,1,103
589,-550.0,675,0,1,104
590,-475.0,575,0,1,79
591,-826.0,1000,0,0,174
592,-844.0,1000,0,0,156
593,-840.0,1000,0,0,160
594,-786.0,948,0,1,141
595,-567.0,680,0,1,92
596,-290.0,369,0,1,58
597,-452.0,557,0,1,84
598,-838.0,1000,0,0,162
599,-842.0,1000,0,0,158
600,-415.0,536,0,1,100
601,-355.0,452,0,1,76
602,-448.0,572,0,1,103
603,-709.0,884,0,1,154
604,-652.0,808,0,1,135
605,-768.0,955,0,1,166
606,-734.0,921,0,1,166
607,-233.0,316,0,1,62
608,-393.0,493,0,1,79
609,-829.0,1000,0,0,171
610,-432.0,530,0,1,77
611,-459.0,565,0,1,85
612,-778.0,963,0,1,164
613,-501.0,630,0,1,108
614,-857.0,1000,0,0,143
615,-344.0,442,0,1,77
616,-579.0,721,0,1,121
617,-602.0,736,0,1,113
618,-677.0,837,0,1,139
619,-495.0,615,0,1,99
620,-746.0,920,0,1,153
621,-469.0,590,0,1,100
622,-569.0,697,0,1,107
623,-310.0,410,0,1,79
624,-842.0,1000,0,0,158
625,-832.0,998,0,1,145
626,-512.0,639,1,1,115
627,-553.0,700,0,1,126
628,-749.0,923,0,1,153
629,-835.0,1000,0,0,165
630,-322.0,422,0,1,79
631,-854.0,1000,0,0,146
632,-837.0,1000,0,0,163
633,-205.0,280,0,1,54
634,-763.0,948,0,1,164
635,-300.0,386,0,1,65
636,-610.0,731,0,1,100
637,-527.0,643,0,1,95
638,-775.0,956,0,1,160
639,-570.0,705,0,1,114
640,-667.0,824,0,1,136
641,-851.0,1000,1,0,158
642,-365.0,464,0,1,78
643,-509.0,619,0,1,89
644,-739.0,902,0,1,142
645,-538.0,663,0,1,104
646,-663.0,841,0,1,157
647,-587.0,719,0,1,111
