Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
684,-1562.0,638,105,1,True
685,-1498.0,592,103,1,True
686,-3375.0,1407,221,1,True
687,-922.0,385,62,1,True
688,-1744.0,685,120,1,True
689,-1058.0,458,69,1,True
690,-1041.0,423,71,1,True
691,-858.0,348,59,1,True
692,-2688.0,1116,177,1,True
693,-1613.0,680,106,1,True
694,-2800.0,1165,184,1,True
695,-1576.0,643,106,1,True
696,-2616.0,1188,161,1,True
697,-2744.0,1208,173,1,True
698,-1143.0,426,82,1,True
699,-1628.0,632,113,1,True
700,-519.0,216,36,1,True
701,-2586.0,1077,170,1,True
702,-2301.0,918,156,1,True
703,-1495.0,616,100,1,True
704,-2412.0,1011,158,1,True
705,-1674.0,687,112,1,True
706,-831.0,312,60,1,True
707,-3226.0,1330,213,1,True
708,-2366.0,983,156,1,True
709,-2530.0,1102,161,1,True
710,-1767.0,753,115,1,True
711,-2493.0,1047,163,1,True
712,-2356.0,937,160,1,True
713,-1457.0,605,97,1,True
714,-831.0,330,58,1,True
715,-2680.0,1108,177,1,True
716,-1212.0,477,84,1,True
717,-1669.0,700,110,1,True
718,-2515.0,1024,168,1,True
719,-1223.0,506,82,1,True
720,-856.0,328,61,1,True
721,-1367.0,488,100,1,True
722,-2093.0,881,137,1,True
723,-1036.0,427,70,1,True
724,-1766.0,743,116,1,True
725,-1717.0,721,113,1,True
726,-1819.0,706,126,1,True
727,-1685.0,671,115,1,True
728,-2449.0,994,164,1,True
729,-995.0,386,70,1,True
730,-1184.0,512,77,1,True
731,-1236.0,546,79,1,True
732,-1362.0,528,95,1,True
733,-2546.0,1091,164,1,True
734,-1285.0,541,85,1,True
735,-2350.0,1003,152,1,True
736,-2501.0,1028,166,1,True
737,-2697.0,1170,172,1,True
738,-1063.0,454,70,1,True
739,-1689.0,756,106,1,True
740,-1134.0,444,79,1,True
741,-1374.0,558,93,1,True
742,-2295.0,957,151,1,True
743,-1025.0,434,68,1,True
744,-813.0,321,57,1,True
745,-2300.0,971,150,1,True
746,-2222.0,920,147,1,True
747,-2478.0,1005,166,1,True
748,-1486.0,643,96,1,True
749,-2520.0,1065,164,1,True
750,-1695.0,726,110,1,True
751,-1511.0,641,99,1,True
752,-2471.0,1061,159,1,True
753,-919.0,364,64,1,True
754,-2329.0,964,154,1,True
755,-1844.0,740,125,1,True
756,-1335.0,600,84,1,True
757,-725.0,260,54,1,True
758,-1478.0,662,93,1,True
759,-1523.0,608,104,1,True
760,-1372.0,610,87,1,True
