Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
447,-2449.0,1021,161,1,True
448,-2466.0,1056,159,1,True
449,-1277.0,479,91,1,True
450,-2474.0,1010,165,1,True
451,-2202.0,900,147,1,True
452,-2270.0,941,150,1,True
453,-2436.0,1017,160,1,True
454,-1930.0,817,126,1,True
455,-1149.0,450,80,1,True
456,-1265.0,494,88,1,True
457,-1345.0,493,97,1,True
458,-2730.0,1203,172,1,True
459,-2391.0,990,158,1,True
460,-1037.0,410,72,1,True
461,-1261.0,481,89,1,True
462,-2342.0,1004,151,1,True
463,-2420.0,1055,154,1,True
464,-2503.0,1003,169,1,True
465,-1559.0,617,107,1,True
466,-1136.0,446,79,1,True
467,-893.0,374,60,1,True
468,-1366.0,586,89,1,True
469,-1508.0,602,103,1,True
470,-1638.0,624,115,1,True
471,-1763.0,731,117,1,True
472,-700.0,280,49,1,True
473,-2529.0,1074,164,1,True
474,-1366.0,550,93,1,True
475,-751.0,277,55,1,True
476,-1515.0,582,106,1,True
477,-1533.0,663,99,1,True
478,-2391.0,1008,156,1,True
479,-958.0,367,68,1,True
480,-1003.0,430,66,1,True
481,-1726.0,730,113,1,True
482,-991.0,382,70,1,True
483,-1171.0,436,84,1,True
484,-2612.0,1112,169,1,True
485,-2074.0,844,139,1,True
486,-2452.0,988,165,1,True
487,-2763.0,1281,167,1,True
488,-2207.0,905,147,1,True
489,-1884.0,807,122,1,True
490,-3489.0,1500,221,0,False
491,-897.0,369,61,1,True
492,-1394.0,569,94,1,True
493,-2275.0,883,157,1,True
494,-2262.0,897,154,1,True
495,-2532.0,1113,160,1,True
496,-714.0,276,51,1,True
497,-1809.0,687,127,1,True
498,-459.0,201,31,1,True
499,-1018.0,418,69,1,True
500,-2606.0,1124,167,1,True
501,-995.0,431,65,1,True
502,-1088.0,443,74,1,True
503,-2330.0,938,157,1,True
504,-2576.0,1103,166,1,True
505,-2437.0,1081,153,1,True
506,-960.0,369,68,1,True
507,-1263.0,546,82,1,True
508,-891.0,336,64,1,True
509,-543.0,204,40,1,True
510,-2148.0,900,141,1,True
511,-2628.0,1119,170,1,True
512,-1207.0,490,82,1,True
513,-1073.0,482,68,1,True
514,-1552.0,673,100,1,True
515,-1088.0,461,72,1,True
516,-1609.0,649,109,1,True
517,-1267.0,487,89,1,True
518,-2413.0,1039,155,1,True
519,-2592.0,1101,168,1,True
520,-799.0,298,58,1,True
521,-1605.0,654,108,1,True
522,-1397.0,572,94,1,True
523,-2624.0,1169,164,1,True
524,-2399.0,1016,156,1,True
525,-1358.0,524,95,1,True
526,-1336.0,574,87,1,True
527,-2318.0,917,158,1,True
528,-1451.0,545,103,1,True
529,-2099.0,815,145,1,True
530,-1352.0,581,88,1,True
531,-1164.0,537,72,1,True
532,-738.0,291,52,1,True
533,-1054.0,427,72,1,True
534,-790.0,307,56,1,True
535,-1932.0,846,123,1,True
536,-1040.0,404,73,1,True
537,-2347.0,982,154,1,True
538,-869.0,377,57,1,True
539,-866.0,311,64,1,True
540,-904.0,349,64,1,True
541,-1450.0,598,97,1,True
542,-486.0,183,36,1,True
543,-2549.0,1094,164,1,True
544,-1154.0,455,80,1,True
545,-2449.0,1012,162,1,True
546,-2904.0,1197,192,1,True
547,-1037.0,392,74,1,True
548,-2477.0,1004,166,1,True
549,-1075.0,448,72,1,True
550,-2566.0,1075,168,1,True
551,-811.0,301,59,1,True
552,-2403.0,939,165,1,True
553,-1347.0,603,85,1,True
554,-2827.0,1282,174,1,True
