Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger, Status
509,-37.0,49,1,1,True
510,-2008.0,823,134,1,True
511,-1287.0,561,83,1,True
512,-893.0,347,63,1,True
513,-1456.0,595,98,1,True
514,-1664.0,722,107,1,True
515,-960.0,369,68,1,True
516,-2592.0,1119,166,1,True
517,-1091.0,500,68,1,True
518,-2377.0,967,159,1,True
519,-2569.0,1141,161,1,True
520,-1386.0,552,95,1,True
521,-1121.0,458,76,1,True
522,-2290.0,925,154,1,True
523,-705.0,267,51,1,True
524,-3023.0,1226,202,1,True
525,-1124.0,497,72,1,True
526,-547.0,208,40,1,True
527,-2632.0,1132,169,1,True
528,-1568.0,680,101,1,True
529,-1469.0,563,103,1,True
530,-2535.0,972,176,1,True
531,-1228.0,484,85,1,True
532,-1178.0,461,82,1,True
533,-841.0,340,58,1,True
534,-1342.0,517,94,1,True
535,-1587.0,645,107,1,True
536,-495.0,183,37,1,True
537,-2532.0,1113,160,1,True
538,-952.0,379,66,1,True
539,-1147.0,448,80,1,True
540,-846.0,327,60,1,True
541,-2293.0,973,149,1,True
542,-531.0,219,37,1,True
543,-1566.0,678,101,1,True
544,-2229.0,909,149,1,True
545,-1296.0,579,82,1,True
546,-934.0,388,63,1,True
547,-1173.0,429,85,1,True
548,-2898.0,1344,175,1,True
549,-1075.0,466,70,1,True
550,-2600.0,1118,167,1,True
551,-957.0,393,65,1,True
552,-1545.0,639,103,1,True
553,-2515.0,1141,155,1,True
554,-1552.0,628,105,1,True
555,-2338.0,964,155,1,True
556,-1859.0,782,122,1,True
557,-939.0,339,69,1,True
558,-2464.0,1000,165,1,True
559,-2309.0,935,155,1,True
560,-1316.0,545,88,1,True
561,-844.0,316,61,1,True
562,-2140.0,874,143,1,True
563,-1390.0,556,95,1,True
564,-563.0,260,36,1,True
565,-1159.0,514,74,1,True
566,-2439.0,1029,159,1,True
567,-2259.0,885,155,1,True
568,-2446.0,1000,163,1,True
569,-1632.0,663,110,1,True
570,-1625.0,665,109,1,True
571,-1989.0,822,132,1,True
572,-1065.0,438,72,1,True
573,-1474.0,604,99,1,True
574,-2455.0,1018,162,1,True
575,-1336.0,547,90,1,True
576,-1960.0,847,126,1,True
577,-2505.0,1059,163,1,True
578,-881.0,335,63,1,True
579,-2763.0,1290,166,1,True
580,-985.0,394,68,1,True
581,-918.0,381,62,1,True
582,-2558.0,1076,167,1,True
583,-2513.0,1040,166,1,True
584,-2307.0,996,148,1,True
585,-2540.0,1103,162,1,True
586,-904.0,385,60,1,True
587,-1365.0,495,99,1,True
588,-1140.0,459,78,1,True
589,-835.0,325,59,1,True
590,-1241.0,623,71,1,True
591,-916.0,388,61,1,True
592,-2319.0,936,156,1,True
593,-1667.0,662,114,1,True
594,-2560.0,1069,168,1,True
595,-1316.0,518,91,1,True
596,-1880.0,812,121,1,True
597,-934.0,397,62,1,True
598,-979.0,433,63,1,True
599,-3259.0,1390,210,1,True
600,-2576.0,1103,166,1,True
601,-2173.0,844,150,1,True
602,-1586.0,662,105,1,True
603,-1393.0,577,93,1,True
604,-1339.0,514,94,1,True
605,-2725.0,1261,165,1,True
606,-2367.0,975,157,1,True
607,-564.0,198,43,1,True
608,-1273.0,538,84,1,True
609,-2404.0,1003,158,1,True
610,-1320.0,540,89,1,True
611,-1247.0,512,84,1,True
612,-1483.0,586,102,1,True
613,-1757.0,806,108,1,True
614,-2146.0,898,141,1,True
615,-2129.0,827,147,1,True
616,-945.0,381,65,1,True
617,-2337.0,945,157,1,True
618,-2358.0,948,159,1,True
619,-1389.0,564,94,1,True
620,-2424.0,1050,155,1,True
621,-2341.0,994,152,1,True
622,-2035.0,805,139,1,True
623,-728.0,290,51,1,True
624,-1906.0,757,130,1,True
625,-1315.0,490,94,1,True
626,-1473.0,585,101,1,True
627,-2497.0,1042,164,1,True
628,-1581.0,684,102,1,True
629,-2261.0,986,144,1,True
630,-881.0,371,59,1,True
631,-2665.0,1174,168,1,True
632,-2374.0,973,158,1,True
633,-946.0,382,65,1,True
634,-1243.0,463,89,1,True
635,-1045.0,418,72,1,True
636,-1463.0,584,100,1,True
637,-1438.0,640,91,1,True
638,-1847.0,806,118,1,True
639,-1330.0,550,89,1,True
640,-1312.0,550,87,1,True
641,-1339.0,532,92,1,True
642,-1293.0,513,89,1,True
643,-1579.0,664,104,1,True
644,-2041.0,847,135,1,True
645,-1538.0,641,102,1,True
646,-2475.0,1074,158,1,True
647,-3074.0,1232,207,1,True
648,-2010.0,771,140,1,True
649,-1681.0,667,115,1,True
650,-1701.0,723,111,1,True
651,-1264.0,475,90,1,True
652,-1437.0,549,101,1,True
653,-1483.0,667,93,1,True
654,-1103.0,431,77,1,True
655,-2151.0,876,144,1,True
656,-2260.0,949,148,1,True
657,-1348.0,550,91,1,True
658,-207.0,111,13,1,True
659,-3188.0,1301,212,1,True
660,-2496.0,1050,163,1,True
661,-857.0,320,62,1,True
662,-1033.0,379,75,1,True
663,-2679.0,1188,168,1,True
664,-1020.0,366,75,1,True
665,-1970.0,830,129,1,True
666,-923.0,359,65,1,True
667,-2574.0,1092,167,1,True
668,-1120.0,412,81,1,True
669,-1260.0,516,85,1,True
670,-2406.0,996,159,1,True
671,-2193.0,882,148,1,True
672,-942.0,396,63,1,True
673,-474.0,180,35,1,True
674,-1893.0,771,127,1,True
675,-2548.0,1075,166,1,True
676,-1423.0,625,91,1,True
677,-745.0,289,53,1,True
678,-1595.0,635,109,1,True
679,-3259.0,1381,211,1,True
680,-2437.0,1018,160,1,True
681,-1491.0,585,103,1,True
682,-604.0,256,41,1,True
683,-303.0,126,22,1,True
684,-1307.0,518,90,1,True
685,-1489.0,628,98,1,True
686,-1044.0,489,64,1,True
687,-1091.0,428,76,1,True
688,-1647.0,642,114,1,True
689,-1784.0,689,124,1,True
690,-1247.0,485,87,1,True
691,-765.0,291,55,1,True
692,-1597.0,682,104,1,True
693,-1105.0,451,75,1,True
694,-2686.0,1141,174,1,True
695,-2319.0,963,153,1,True
696,-1339.0,577,87,1,True
697,-1649.0,653,113,1,True
698,-1095.0,423,77,1,True
699,-2807.0,1064,196,1,True
700,-915.0,387,61,1,True
701,-1510.0,631,100,1,True
702,-1632.0,672,109,1,True
703,-1604.0,689,104,1,True
704,-978.0,432,63,1,True
705,-1812.0,780,117,1,True
706,-1369.0,553,93,1,True
707,-2485.0,1003,167,1,True
708,-2038.0,817,138,1,True
709,-1885.0,763,127,1,True
710,-2297.0,986,148,1,True
711,-1921.0,826,124,1,True
712,-2502.0,1002,169,1,True
713,-1809.0,768,118,1,True
714,-1194.0,513,78,1,True
715,-1275.0,585,79,1,True
716,-2271.0,951,149,1,True
717,-2306.0,968,151,1,True
718,-1589.0,746,96,1,True
719,-1469.0,617,97,1,True
720,-742.0,286,53,1,True
721,-2338.0,946,157,1,True
722,-1650.0,681,110,1,True
723,-1348.0,568,89,1,True
724,-2498.0,1052,163,1,True
725,-1492.0,586,103,1,True
726,-2069.0,857,137,1,True
727,-1741.0,727,115,1,True
728,-2325.0,951,155,1,True
729,-1067.0,395,77,1,True
730,-1084.0,412,77,1,True
731,-1258.0,487,88,1,True
732,-1112.0,476,73,1,True
733,-2528.0,1073,164,1,True
734,-1257.0,540,82,1,True
735,-1707.0,702,114,1,True
736,-1312.0,559,86,1,True
737,-1342.0,508,95,1,True
738,-793.0,283,59,1,True
739,-1277.0,515,87,1,True
740,-985.0,358,72,1,True
741,-1089.0,444,74,1,True
742,-1248.0,486,87,1,True
743,-1280.0,491,90,1,True
744,-651.0,249,47,1,True
745,-1661.0,674,112,1,True
746,-1207.0,436,88,1,True
747,-998.0,434,65,1,True
748,-1480.0,610,99,1,True
749,-2166.0,846,149,1,True
750,-2480.0,1052,161,1,True
751,-2343.0,960,156,1,True
752,-2276.0,893,156,1,True
753,-1066.0,421,74,1,True
754,-2624.0,1151,166,1,True
755,-1385.0,551,95,1,True
756,-1608.0,693,104,1,True
757,-743.0,278,54,1,True
758,-2297.0,932,154,1,True
759,-1633.0,718,104,1,True
760,-1501.0,676,94,1,True
761,-861.0,333,61,1,True
762,-1179.0,453,83,1,True
