Episode,TotalReward,Steps,Drop,Delivered,Rollbacks
882,-520.0,629,0,1,88
883,-750.0,925,0,1,154
884,-631.0,783,0,1,131
885,-864.0,1000,0,0,136
886,-557.0,680,0,1,102
887,-543.0,697,0,1,133
888,-613.0,762,0,1,128
889,-230.0,305,0,1,54
890,-413.0,538,0,1,104
891,-815.0,1000,1,1,173
892,-91.0,138,0,1,26
893,-745.0,921,0,1,155
894,-396.0,518,0,1,101
895,-840.0,1000,0,0,160
896,-581.0,723,0,1,121
897,-855.0,1000,0,0,145
898,-798.0,976,0,1,157
899,-717.0,893,0,1,155
900,-171.0,241,0,1,49
901,-857.0,1000,0,0,143
902,-812.0,990,0,1,157
903,-868.0,1000,0,0,132
904,-360.0,466,0,1,85
905,-545.0,680,0,1,114
906,-447.0,562,0,1,94
907,-403.0,507,0,1,83
908,-321.0,414,0,1,72
909,-856.0,1000,0,0,144
